,Value
R-squared,0.44607827081457985
Adj. R-squared,0.43285467515763343
F-statistic,33.73350807049626
Prob (F-statistic),1.15897505727099e-165
No. Observations,1545.0
AIC,57249.39434741617
BIC,57447.07717742145
