Variable,Coefficient (Impact),P-Value,Client Type
TikTok,17.11764220270589,3.686367787448697e-10,Large Facility 
Facebook,6.645855825249013,0.016348657234109134,Large Facility 
Instagram,2.90380428631769,3.5814016244269944e-14,Large Facility 
Campaign_Flyer,2.160852819337068,0.010907556677963877,Large Facility 
Campaign_Flyer:Facebook,3.5167146632427305e-06,0.0036539031949092363,Large Facility 
Facebook:YouTube,3.089825216493361e-06,0.02130907332183904,Large Facility 
Instagram:YouTube,6.661366267667457e-07,9.996715984721847e-08,Large Facility 
Campaign_Email:Campaign_Flyer,-8.956919523727934e-07,0.04239449856445909,Large Facility 
Campaign_Flyer:Campaign_Phone,-2.829923615370826e-06,0.013454662053799712,Large Facility 
